,name,region,X,Y
0,Singleton of Dufftown 12 Year Old,Speyside Whisky,0.3251299423889516,-0.4258070534117484
1,The GlenDronach 18 Year Old Allardice,Highland Whisky,-0.584602164497712,-0.5445594206443959
2,Lagavulin 2005 (bottled 2020) Pedro Ximénez Cask Finish - Distillers Edition,Islay Whisky,0.1050463403944305,0.7372556826170823
3,Glenfarclas 15 Year Old,Speyside Whisky,0.7698982563357071,-0.6413130934297433
5,Tobermory 12 Year Old,Island Whisky,-0.34396575917885674,-0.24954541065157196
6,Laphroaig 16 Year Old,Islay Whisky,0.13678183030073385,1.3282230015255923
7,Balvenie 14 Year Old Caribbean Cask,Speyside Whisky,0.3652986052077007,-0.0625746549539041
8,Balvenie 21 Year Old PortWood Finish,Speyside Whisky,0.04152120567306325,0.2262267582036145
9,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.2135551281891111,-0.03608984498999007
10,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.2135551281891111,-0.03608984498999007
11,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.05115426236464036,-0.12928843326200978
12,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.05115426236464036,-0.12928843326200978
13,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.2135551281891111,-0.03608984498999007
14,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.2135551281891111,-0.03608984498999007
15,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.05115426236464036,-0.12928843326200978
16,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.05115426236464036,-0.12928843326200978
17,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.2135551281891111,-0.03608984498999007
18,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.2135551281891111,-0.03608984498999007
19,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.05115426236464036,-0.12928843326200978
20,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.05115426236464036,-0.12928843326200978
21,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.2135551281891111,-0.03608984498999007
22,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.2135551281891111,-0.03608984498999007
23,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.05115426236464036,-0.12928843326200978
24,Macallan 28 Year Old (That Boutique-y Whisky Company),Speyside Whisky,0.05115426236464036,-0.12928843326200978
25,The Macallan 18 Year Old Sherry Oak (2021 Release),Speyside Whisky,-0.00043158849282730593,-0.4622073443236784
26,Seaweed & Aeons & Digging & Fire & Cask Strength 10 Year Old (Batch 04),Islay Whisky,-0.4614479022824102,0.7087056070061335
27,Seaweed & Aeons & Digging & Fire 10 Year Old,Islay Whisky,0.7268178274573452,0.388266948825356
28,Lagavulin 16 Year Old,Islay Whisky,0.9892195999674135,0.2507563361993649
29,Balvenie 12 Year Old - The Sweet Toast of American Oak,Speyside Whisky,0.004331684405917877,-0.18568565285567387
30,The Macallan 18 Year Old Double Cask,Speyside Whisky,0.14994553503616354,-0.492727523449086
31,Bunnahabhain 12 Year Old,Islay Whisky,0.750994239844734,0.41270791543505386
32,Glenfarclas 105,Speyside Whisky,0.3759279988586027,-0.5105639180588952
33,Tamdhu 12 Year Old (43%),Speyside Whisky,-0.3260190603778888,-0.3691826873057854
34,Glengoyne 15 Year Old 2005 (cask 14639) - Old Particular (Douglas Laing) - Master of Malt Exclusive,Highland Whisky,-0.3169105346375167,-0.5897708239538135
35,Glenfarclas 21 Year Old,Speyside Whisky,0.9151811791650063,-0.21925076431443796
36,Edradour 10 Year Old,Highland Whisky,0.7141926338591366,-0.5900786378560586
37,Lagavulin 12 Year Old (Special Release 2021),Islay Whisky,0.7318079889605098,1.3020668848518067
38,Glenfarclas 25 Year Old,Speyside Whisky,0.6751514718531476,-0.17241518476811543
39,The Macallan 12 Year Old Double Cask,Speyside Whisky,0.411015609139657,-0.4706342915905574
40,Glenmorangie Signet,Highland Whisky,0.03429101497210201,-0.2933454066805432
41,GlenAllachie 15 Year Old,Speyside Whisky,-0.6642641320430369,-0.3246578266175031
42,Craigellachie 17 Year Old,Speyside Whisky,-0.21604494242278463,0.23635530708395988
43,Caol Ila 18 Year Old,Islay Whisky,0.842992336796541,0.673147932511882
44,Octomore 12.2 5 Year Old,Islay Whisky,-0.41615605784951915,0.353730802526095
45,Tamdhu 15 Year Old,Speyside Whisky,-0.5005933899398204,0.0388436539516467
46,Ardbeg Uigeadail,Islay Whisky,0.5466919264320589,0.34665353122432113
47,Glen Moray 1998 Barolo Finish - Warehouse 1,Speyside Whisky,-0.1010142600089239,-0.6608509236948061
48,Dalmore 15 Year Old,Highland Whisky,0.3258193036884462,-0.7420762214446173
49,Glen Elgin 14 Year Old - Derestricted,Speyside Whisky,-0.7530945789652409,-0.24484670594457383
50,Glenmorangie Barrel Select Release 13 Year Old Cognac Cask Finish,Highland Whisky,-0.38580689899323606,-0.21543364206413718
51,Phenolix 10 Year Old,Islay Whisky,-1.1495669875247037,0.8286491542396484
52,Aberlour A'Bunadh Batch 68,Speyside Whisky,-0.2861955925174298,-0.41831137560306997
53,Talisker 8 Year Old (Special Release 2021),Island Whisky,0.2147080531978468,0.7393243010173827
54,Laphroaig 10 Year Old,Islay Whisky,0.8966477377114301,1.1351155955115773
55,Talisker 10 Year Old,Island Whisky,0.4412195540160519,1.1688695058978176
56,Laphroaig 10 Year Old Sherry Oak Finish,Islay Whisky,-0.04292544992881983,1.0333846784544372
57,Seaweed & Aeons & Digging & Fire & Sherry Casks & Cask Strength 10 Year Old (Batch 02),Islay Whisky,-0.7002929962671885,0.16036913860069985
58,Kilchoman Sanaig,Islay Whisky,0.08013269107520905,0.7090722038797157
59,Talisker 18 Year Old,Island Whisky,0.9046667236807964,-0.050437529433676534
60,Oban 14 Year Old,Highland Whisky,0.5572460624243185,0.0731429319747002
61,Highland Park Cask Strength - Release No.2,Island Whisky,-0.9184137757309202,0.5809976366485903
62,Clynelish 14 Year Old,Highland Whisky,0.598352402083204,-0.1436442558053056
63,Kilchoman Machir Bay,Islay Whisky,0.012370134054248805,0.26455260683018506
64,Bruichladdich 16 Year Old 2002 - Single Cask (Master of Malt),Islay Whisky,-0.15060090985733876,0.06109753925114255
65,Mortlach 13 Year Old (Special Release 2021),Speyside Whisky,0.8347552492912989,0.30332647750206015
66,Ledaig Rioja Cask Finish - Sinclair Series,Island Whisky,-0.37079378663720863,0.5839044747237592
67,Old Pulteney 12 Year Old,Highland Whisky,-0.4433659116309657,0.7985348448626963
68,Arran Bodega Sherry Cask,Island Whisky,-0.21619609732282913,-0.633889271285762
69,Fettercairn 12 Year Old,Highland Whisky,0.018328881507992056,-0.18413451489914456
70,Glenfiddich Experimental Series - Project XX,Speyside Whisky,0.525250799295316,-0.16016715107693108
71,Dalmore Port Wood Reserve,Highland Whisky,-0.7792801846554256,-0.2209719828998351
72,Bunnahabhain 18 Year Old,Islay Whisky,0.7958263410254474,0.04649583093702597
73,Glenkinchie 12 Year Old,Lowland Whisky,0.33352161966579164,-0.23874238543817877
74,Ardbeg 10 Year Old,Islay Whisky,0.46687661873425446,1.0635554454513243
75,Edradour 10 Year Old 2011 (cask 241) - Un-Chillfiltered Collection (Signatory),Highland Whisky,0.20232070251944334,-0.5993671777660919
76,Laphroaig Select,Islay Whisky,-0.2825282866149241,0.9320930442804366
77,Oban 12 Year Old (Special Release 2021),Highland Whisky,0.4545407842482145,0.8865231894082246
78,Glenfarclas 30 Year Old,Speyside Whisky,1.0502359893732176,-0.5671352795032185
79,Glenfarclas 10 Year Old,Speyside Whisky,0.6331018699451315,-0.44880036376190924
80,Aberfeldy 12 Year Old,Highland Whisky,0.5323255130394224,-0.07297502782961117
81,Ardbeg Wee Beastie 5 Year Old,Islay Whisky,0.4624260913958058,0.6745301163322779
82,Ledaig 10 Year Old,Island Whisky,0.577895112123177,0.6829930231562975
83,Highland Park 12 Year Old - Viking Honour,Island Whisky,0.8390237119722316,-0.29067426166635413
84,Highland Park 12 Year Old (35cl),Island Whisky,0.8390237119722316,-0.29067426166635413
85,Deanston 12 Year Old,Highland Whisky,0.07450130840987881,-0.1605598108571632
86,Glencadam 10 Year Old,Highland Whisky,0.7671839188685036,-0.015175239003955312
87,Balblair 15 Year Old,Highland Whisky,-0.24683341660818348,-0.5479655080203729
88,Ledaig 18 Year Old,Island Whisky,-0.3633916397542972,0.7878158348120965
89,Aberfeldy 16 Year Old,Highland Whisky,-0.2861371617055485,-0.3738942599183783
