,name,palate_tokenized,nose_tokenized,finish_tokenized,price,region,distillery,bottler,age,ABV,chill_filter,cask_strength,maturation_bourbon,maturation_brandy,maturation_marsala,maturation_oak,maturation_port,maturation_red wine,maturation_rum,maturation_rye,maturation_sauternes,maturation_sherry,maturation_white wine,maturation_wine
0,Singleton of Dufftown 12 Year Old,"['orange_zest', 'malty_core', 'nut', 'oak', 'toffee', 'cut_grass']","['malt', 'cereal', 'barley', 'sweet', 'butter', 'toast', 'wood_shaving', 'hay', 'walnut']","['oak', 'rich', 'good_length', 'fruit']",40.42,Speyside Whisky,Dufftown,Dufftown,12.0,40.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,The GlenDronach 18 Year Old Allardice,"['christmas_cake', 'rum', 'chocolate', 'hazelnut', 'runny_honey', 'sauternes']","['sherry', 'thick', 'knife', 'old', 'rum', 'pineapple', 'brown_sugar', 'tow']","['fresh', 'blackcurrant', 'blueberry', 'pancake', 'generous', 'helping', 'maple_syrup']",112.3,Highland Whisky,GlenDronach,GlenDronach,18.0,46.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,Lagavulin 2005 (bottled 2020) Pedro Ximénez Cask Finish - Distillers Edition,"['date', 'prune', 'almond', 'bonfire', 'smoke', 'toffee', 'end']","['medicinal_peat', 'tarry_rope', 'dark_chocolate', 'mousse', 'ripe', 'red_berry', 'sweet']","['peat', 'crisp', 'red_grape']",99.7,Islay Whisky,Lagavulin,Lagavulin,,43.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,Glenfarclas 15 Year Old,"['raisin', 'sherry', 'orange_peel', 'walnut', 'date']","['intense', 'power', 'sherry', 'cream', 'sherry', 'certainly', 'pedro', 'ximenez', 'peppermint', 'rancio', 'old']","['incredibly', 'long', 'complex', 'walnuts']",56.12,Speyside Whisky,Glenfarclas,Glenfarclas,15.0,46.0,,,,,,,,,,,,,,
4,Darkness 8 Year Old,"['amaretti', 'biscuit', 'subtly', 'toast', 'power', 'raisin', 'earth', 'oak']","['candy', 'orange_peel', 'chocolate', 'peanut', 'spice', 'warmth', 'cherry']","['slightly', 'oil', 'smoke', 'chocolate']",57.28,Scotch Whisky,Darkness,Darkness,8.0,47.8,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,Tobermory 12 Year Old,"['rounded', 'malt', 'oil', 'hearty_helping', 'stone_fruit', 'sweet']","['pear', 'peach', 'apple', 'dusting', 'brown_sugar', 'greek', 'yogurt', 'barley', 'cinnamon', 'pastry']","['flash', 'orange_peel', 'soft', 'sawdust', 'toffee', 'date']",52.68,Island Whisky,Tobermory,Tobermory,12.0,46.3,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Laphroaig 16 Year Old,"['rich', 'peat', 'iodine', 'subtle', 'floral', 'fresh', 'citrus', 'honeyed', 'barley']","['roasted_nut', 'peat', 'slow_build', 'maple_syrup', 'pancake', 'vanilla_pod']","['coastal', 'ember', 'bonfire']",102.0,Islay Whisky,Laphroaig,Laphroaig,16.0,48.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Balvenie 14 Year Old Caribbean Cask,"['sweet', 'vanilla', 'cream', 'apple', 'mango', 'orange', 'background']","['aroma', 'rich', 'tropical_fruit', 'passion_fruit', 'cream', 'toffee']","['finish', 'vanilla', 'character']",65.3,Speyside Whisky,Balvenie,Balvenie,14.0,43.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Balvenie 21 Year Old PortWood Finish,"['gentle', 'subtle', 'load', 'mix', 'cranberry', 'raspberry', 'white_grape', 'juice', 'barley']","['elegant', 'white', 'peach', 'faint', 'puff', 'smoke']","['cocoa', 'slightly', 'bitter', 'away', 'gracefully']",200.65,Speyside Whisky,Balvenie,Balvenie,21.0,40.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Macallan 28 Year Old (That Boutique-y Whisky Company),"['delicate', 'smooth', 'oil', 'mouthfeel', 'milk_chocolate', 'forest', 'fruit', 'kitchen', 'spice', 'support']","['floral', 'elderflower', 'green_apple', 'sweet', 'nectarine', 'honeyed', 'buttered_toast']","['short', 'malt', 'caramel']",1261.2,Speyside Whisky,The Macallan,That Boutique-y Whisky Company,28.0,43.6,,,,,,,,,,,,,,
